Company,Description,URL,title,location,date_posted,link,fit,
Profound,Be more visible in AI Search.,https://www.tryprofound.com/,Sales Development Representative Manager,New York City,"Sep 17, 2025",https://jobs.ashbyhq.com/Profound/0931d367-55f0-4342-9d6c-23d2e5adcb18,,
Profound,Be more visible in AI Search.,https://www.tryprofound.com/,Sales Development Representative,New York City,"Sep 17, 2025",https://jobs.ashbyhq.com/Profound/296d21bb-8c7a-451d-b745-46d0c850afbc,,
Profound,Be more visible in AI Search.,https://www.tryprofound.com/,SWE Backend (Workflow Runner),New York City,"Sep 9, 2025",https://jobs.ashbyhq.com/Profound/4c29c22e-c6fa-4bde-97ed-79edd5a96cea,,
Profound,Be more visible in AI Search.,https://www.tryprofound.com/,AI/ML Engineer,New York City,"Sep 4, 2025",https://jobs.ashbyhq.com/Profound/08484c30-121a-4d1f-961b-09518f14337a,,
Profound,Be more visible in AI Search.,https://www.tryprofound.com/,Mid-Market Sales Manager,New York City,"Aug 29, 2025",https://jobs.ashbyhq.com/Profound/0612dfdd-4cf4-4188-b12c-65c43ebc19ea,,
Profound,Be more visible in AI Search.,https://www.tryprofound.com/,AI Marketing Engineer,New York City,"Aug 26, 2025",https://jobs.ashbyhq.com/Profound/76985e91-fbdb-41a6-9181-d037a5a7a6a6,,
Profound,Be more visible in AI Search.,https://www.tryprofound.com/,Chief of Staff,New York City,"Aug 19, 2025",https://jobs.ashbyhq.com/Profound/52e2ff7b-1cff-42ba-9604-448eeb58d3d4,,
Profound,Be more visible in AI Search.,https://www.tryprofound.com/,Growth Marketer,New York City,"Aug 19, 2025",https://jobs.ashbyhq.com/Profound/dd911f57-11ff-44f7-afb4-42e523bf6230,,
Profound,Be more visible in AI Search.,https://www.tryprofound.com/,Commercial Counsel,New York City,"Aug 11, 2025",https://jobs.ashbyhq.com/Profound/51cb191e-ef84-4874-b9bd-14fd3cf90383,,
Profound,Be more visible in AI Search.,https://www.tryprofound.com/,GTM Recruiter,New York City,"Jul 29, 2025",https://jobs.ashbyhq.com/Profound/10f951f8-a495-428c-847a-eede0ff61474,,
Profound,Be more visible in AI Search.,https://www.tryprofound.com/,Implementation Manager,New York City,"Jul 29, 2025",https://jobs.ashbyhq.com/Profound/a7339e9a-b5c6-4505-af06-293b181b50c8,,
Profound,Be more visible in AI Search.,https://www.tryprofound.com/,AI Analyst,New York City,"Jul 29, 2025",https://jobs.ashbyhq.com/Profound/37964fbb-6733-4383-b15c-4811cb450fe7,,
Profound,Be more visible in AI Search.,https://www.tryprofound.com/,Technical Recruiter,New York City,"Jul 24, 2025",https://jobs.ashbyhq.com/Profound/be45dd0d-883e-44fa-99c8-c344985b162b,,
Profound,Be more visible in AI Search.,https://www.tryprofound.com/,SWE Frontend,"New York City, San Francisco, and Buenos Aires","Jul 24, 2025",https://jobs.ashbyhq.com/Profound/40aeeeac-24fe-40b2-88d9-242a5ce9300b,,
Profound,Be more visible in AI Search.,https://www.tryprofound.com/,SWE Backend,"New York City, San Francisco, and Buenos Aires","Jul 24, 2025",https://jobs.ashbyhq.com/Profound/043bb5b3-3f78-45d8-a115-fb10f4ed3b09,,
Profound,Be more visible in AI Search.,https://www.tryprofound.com/,Product Marketing Manager,New York City,"Jul 24, 2025",https://jobs.ashbyhq.com/Profound/1999bab6-0b44-4a10-a652-145683f36895,,
Profound,Be more visible in AI Search.,https://www.tryprofound.com/,Product Designer,New York City,"Jul 24, 2025",https://jobs.ashbyhq.com/Profound/02707973-c9c1-4b36-8974-0334ebb35f15,,
Profound,Be more visible in AI Search.,https://www.tryprofound.com/,Growth Marketer,New York City,"Jul 24, 2025",https://jobs.ashbyhq.com/Profound/8a1d0f6b-cb79-4280-95e6-56b000ca1844,,
Profound,Be more visible in AI Search.,https://www.tryprofound.com/,General,New York City,"Jul 24, 2025",https://jobs.ashbyhq.com/Profound/fdc6e1f0-0b5b-4c07-922d-090a9bc4bd93,,
Profound,Be more visible in AI Search.,https://www.tryprofound.com/,Engagement Manager,New York City,"Jul 24, 2025",https://jobs.ashbyhq.com/Profound/d4e2c5df-5ef1-4380-9256-a507d114b823,,
Profound,Be more visible in AI Search.,https://www.tryprofound.com/,Data Science,New York City,"Jul 24, 2025",https://jobs.ashbyhq.com/Profound/26f3cb11-c67a-4534-adc6-13e404a883f7,,
Profound,Be more visible in AI Search.,https://www.tryprofound.com/,Data Engineer,New York City,"Jul 24, 2025",https://jobs.ashbyhq.com/Profound/ea59c604-3a7d-445a-8a37-23252e240031,,
Profound,Be more visible in AI Search.,https://www.tryprofound.com/,AI Strategist,New York City,"Jul 24, 2025",https://jobs.ashbyhq.com/Profound/d98681c2-f665-428d-adca-b4624e7e48ef,,
Profound,Be more visible in AI Search.,https://www.tryprofound.com/,Account Executive - NYC,New York City,"Jul 24, 2025",https://jobs.ashbyhq.com/Profound/9e241b8d-3f96-42ef-b24c-21157f4bf28a,,
Profound,Be more visible in AI Search.,https://www.tryprofound.com/,SWE Fullstack,"New York City, San Francisco, and Buenos Aires","Jul 24, 2025",https://jobs.ashbyhq.com/Profound/9b429dfb-bb80-4bd6-b996-e5dd3a96908e,,
